post_name,address,company,pay,basic_request,JD,label
数据分析专家,青浦区,申通快递,15k-30k,上海 / 经验3-5年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"工作职责 
1.构建全面的能反映服务业务线发展健康度的关键指标体系，并基于指标体系，及时发现与定位业务问题，披露公司整体及各项目的运作情况。 
2.通过专题分析，对关键业务问题进行深入分析，为集团管理者提供业务决策支持。 
3.针对集团层面跨业务场景，联动多方资源进行专题分析，站在集团角度提供决策依据。 
4.沉淀分析思路与框架，提炼数据产品需求，与相关团队协作并推动数据产品落地。 
任职要求 
1.统计、数学、信息技术、商业分析本科以上学历 
2.3年以上大型企业为管理层提供决策支持的商业分析类岗位工作经历 
3.良好的商业理解力和数据敏感度，熟练运用SQL，能从海量数据提炼核心数据指标 
4.良好的沟通能力，有丰富的跨部门项目经验，能够独立推进分析项目 
5.数字敏感度高，具备较强的分析总结能力，具备良好的数据呈现能力，包括PPT展示和讲解能力。 
 
成长提升： 
1、3-5天***培训，柚子学院充电平台，持续培训关怀。 
2、学习氛围好，琢玉计划、每周一次技术分享、建立学而知之知识池，技术氛围浓厚。 
3、入职即有专属师兄，熟悉团队、带教等一站式关怀体制。 
4、团队氛围佳，年会、团建、定期举办球赛、兄弟中心联谊会、游戏大赛、团建、生日会、许愿墙等多彩活动。 
5、上市公司，平台稳定，制度健全，每年拥有晋升、调薪机会，拥抱变化，成长空间大。 
 
薪资福利： 
1、饭补375/月，食堂品类丰富、营养卫生。 
2、免费员工公寓，四人间，独立卫浴、空调、洗衣机齐备，可做饭。 
3、免费班车上下班，自驾车停车免费。 
4、每周低价内购活动，国定节日更有好礼相送。",平台稳定，核心部门-总裁办，团队氛围好空间大
抖音电商-数据分析实习生（平台治理&服务体验方向）,杨浦区,字节跳动,3k-6k,上海 / 在校/应届 / 本科及以上 /岗位所属职位类型实习生 / 实习,"职位职责： 
1、参与电商数据体系建设，结合字节跳动全域数据生态，为电商产品及业务的发展提供数据能力支撑； 
2、参与数据模型的规划与设计、业务数据报表需求分析、设计、落地，为业务及管理层提供决策支持； 
3、挖掘电商业务中的各项数据需求，探索创新型数据产品，驱动模型和策略的优化。 
职位要求： 
1、本科及以上学历，统计学、应用数学、计算机等理工科专业背景优先； 
2、对数据敏感，对数据类工作有高度热情； 
3、对大数据应用场景有一定认识，有数据仓库、BI、数据挖掘、用户画像等方面的经验者优先； 
4、熟悉SQL/Hive，至少可以熟练使用一种数据可视化分析工具； 
5、沟通表达能力优、抗压能力强、协调推动能力好。","下午茶,健身瑜伽,五险一金,股票期权"
抖音电商-数据分析实习生,杨浦区,字节跳动,3k-6k,上海 / 在校/应届 / 本科及以上 /岗位所属职位类型实习生 / 实习,"职位职责： 
1、参与电商数据体系建设，结合字节跳动全域数据生态，为电商产品及业务的发展提供数据能力支撑； 
2、参与数据模型的规划与设计、业务数据报表需求分析、设计、落地，为业务及管理层提供决策支持； 
3、挖掘电商业务中的各项数据需求，探索创新型数据产品，驱动模型和策略的优化。 
职位要求： 
1、2023年及以后毕业，统计学、应用数学、计算机等理工科专业背景优先，保证至少4个月的实习时长； 
2、对大数据应用场景有一定认识，有数据仓库、BI、数据挖掘、用户画像等方面的经验者优先； 
3、熟悉SQL/Hive，至少可以熟练使用一种数据可视化分析工具； 
4、 积极、主动、耐心、踏实、高效、善于沟通。","下午茶,健身瑜伽,股票期权,团队氛围好"
数据分析实习生,虹梅路,爱点击 iClick,2k-3k,上海 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 实习,"职位描述： 
1 负责部门相关项目数据统计，根据数据输出相关的日报，周报，月报； 
2 根据数据输出相关的日报，周报，月报 
3 日常对接媒体，渠道的对账结算工作 
4 完成公司内部各部门数据需求 
 
任职需求： 
熟练使用EXCEL 
对数据敏感，细心， 
统计，数学，计算机专业优先",可转正实习
数据分析实习生,徐汇区,意臣信息,3k-4k,上海 / 在校/应届 / 本科及以上 /岗位所属职位类型实习生 / 全职,"**本科及以上在读，计算机或者数学统计学等相关行业。
 有半年的数据报表相关项目经验，了解商业BI.
 具备一定的数据分析能力以及良好地数据敏感度。
 熟悉Tableau。
 有SQL能力优先。
 良好的理解沟通能力；良好的学习能力。
 良好团队协作能力。
 优秀实习生提供转正机会（短期实习请不要投递）。",双休 年终奖金 员工旅游 五险一金
BA数据分析实习生（可留用）,静安区,majorel,3k-4k,上海 / 经验不限 / 本科及以上 /岗位所属职位类型实习生 / 兼职,"1. 针对客户关系管理项目进行运营报表制作；
2. 针对客户关系管理项目进行月度业务报表制作；
3. 针对客户关系管理项目进行活动Tracking报表制作；
4. 针对品牌部门及市场部的需求进行报表制作；
5. 针对ad hoc进行报表制作和开发；

岗位要求：
1. 本科以上学历，统计学，数学，计量学，计算机相关学科学士及以上学历；
2. 熟悉SQL server数据库操作，能从SQL server数据库中提取数据；
3. 具备较好的人际交往能力、沟通能力，以及独立思考及处理突发事件的应变能力；
4. 每星期保证4天及以上的实习时间，包括寒暑假期间；
5. 有留用机会",500强外资 CRM agcney
数据分析师实习 data analyst intern,徐家汇,SideChef,2k-3k,上海 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 实习,"How to apply 如何申请:
Please send your CV and cover letter to ********************

About Sidechef
SideChef is an all-in-one home cooking platform that provides over 18,000 free interactive smart recipes, in-app meal planning, grocery delivery, and smart kitchen connectivity. Our core beliefs are manifested in our employees, which are to think globally, empower others, and to lead by design. We are dedicated to bringing the SideChef experience to the world, one casserole dish at a time. Join our international team of 60+ food enthusiasts! Visit sidechef.com to learn more.",互联网、弹性工作、美食公司、双语实习证明
数据分析实习生,静安区,Nebula Brands,3k-4k,上海 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 实习,"Base上海，实习生200/天 
岗位描述 
1. 支持旗下品牌在海外多个电商平台（Walmart、速卖通、以及各垂类电商平台）的运营工作；按季度、月度、周、产品类型等进行分解，对各项相关数据完成情况进行跟踪分析； 
2.针对各店铺在售商品销售情况进行分析，对商品部库存调整及营运活动推广提供参考建议； 
3.维护目前已有的报表，按照分析师搭好的报表架构与数据源关联关系，制作新报表； 
4.完成上级交办工作，提供相关部门需求的数据支持。 
 
岗位要求 
1、本科以上学历，数学、统计、运筹学、计算机、经济学、通信等相关专业； 
2、严谨的逻辑思维能力和扎实的数理专业知识基础； 
3、熟悉SQL进行数据分析； 
4、优秀的分析问题和解决问题的能⼒，对解决具有挑战性问题充满激情； 
5、沟通表达清晰；高效的协作能力；积极主动、自驱力强；思维严谨、系统；批判性思维。",互联网团队、大厂背景
商务数据分析师,黄浦区,上海硕恩,3k-4k,上海 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"工作职责 
1. 从事政务服务类项目研究、撰写工作； 
2. 从事商务类文案研究、撰写工作（包括项目建议书、投标文件等）； 
 
任职要求： 
1. 中文、经济学、金融学等相关专业本科以上学历，研究生优先； 
2. 沟通能力较强，认真、细心，有一定研究能力； 
3. 具有一定的文字功底，曾参与过商业方案或学校组织课题撰写； 
4. 熟练使用office办公软件，擅长PPT",发展前景好
数据分析实习生,静安区,时代光华,3k-4k,上海 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 实习,"工作职责： 
 
1、整理各项业务数据，以月报等形式汇报更新； 
 
2、协同参与业务数据系统的日常运营、管理和维护工作； 
 
3、与团队内部以及需求部门进行有效沟通，及时跟进进度以及解决相关数据问题； 
 
4、协助完成部门其他日常工作。 
 
任职资格： 
 
1、本科及以上学历； 
 
2、对数据分析相关工作有兴趣，对数据敏感 
 
3、了解多种统计、挖掘方法，和一般大数据分析方法； 
 
4、积极好学、细致耐心、责任感强、善于学习，有良好的团队合作精神； 
 
5、熟练使用操作Excel、SPSS/SAS等相关数据分析软件者优先； 
 
6、有python学习经验者优先。",周末双休 提供转正机会
