post_name,address,company,pay,basic_request,JD,label
抖音电商-消费者服务数据分析实习生,海淀区,字节跳动,2k-4k,北京 / 在校/应届 / 本科及以上 /岗位所属职位类型实习生 / 实习,"职位职责： 
1. 针对数据检测发现异常数据问题进行分析挖掘，通过业务校准与数据逻辑确认，定位问题并进行解决及优化； 
2. 收集与对接消费者服务侧各业务板块同学数据需求，包括通过可视化平台对所需数据报表的查询提供支持及搭建数据看板； 
3.协助消费者服务运营指标和报表优化及相关项目管理等。 
职位要求： 
1. 本科或研究生在读，数学、统计学专业优先； 
2. 具备数据分析思维，熟练使用Excel和SQL； 
3. 具有优秀沟通能力与逻辑化思维，具备团队协作精神； 
4. 连续实习3个月及以上，每周出勤5天，能够长期实习优先。","下午茶,健身瑜伽,团队氛围好,带薪休假"
数据分析实习生-直播方向（北京）,海淀区,字节跳动,2k-4k,北京 / 在校/应届 / 本科及以上 /岗位所属职位类型实习生 / 实习,"职位职责： 
1.负责产品运营-直播团队运营数据维护与更新； 
2.跟踪数据并对数据进行分析，提供数据支持，辅助决策； 
3.学习字节海外产品安全策略运营的相关知识和工作流程，跟进和对接业务部门数据需求； 
职位要求： 
1.具备数据分析能力，掌握SQL/Excel等数据分析工具; 
2.热爱互联网行业，工作认真负责，具备优秀的学习和沟通能力； 
3.有数据分析相关实习经验的优先； 
4.一周至少实习4天，不低于三个月的实习期；","下午茶,健身瑜伽,团队氛围好,扁平管理"
数据分析实习生,酒仙桥,自如网,3k-4k,北京 / 经验不限 / 本科及以上 /岗位所属职位类型人力资源专员｜助理 / 全职,"【工作内容】 
1. 支持payroll核算及过程数据统计及分析； 
2. 协助梳理薪酬流程及协助出具标准化服务指南； 
3. 解答员工关于薪酬方面疑问； 
4. 支持考勤等其他类型数据管理及分析 
 5. 部门其他项目性或支持性工作 
 
【任职资格】 
 1. 本科或研究生在读，数据分析、统计学、数学相关专业； 
 2. 对数字敏感，分析统计能力强，对薪酬工作感兴趣，愿意在薪酬领域长期发展； 
 3. 责任心强，有良好的沟通能力，能够承担工作压力； 
 4. 熟练掌握excel函数分析、PPT等办公软件",大平台，双休，转正计划
商业数据分析实习生,西北旺,欧科云链,3k-6k,北京 / 经验不限 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"商业数据分析实习生（实习合格后可以转正） 
工作职责： 
1.协助监控产品向数据,发现异常数据及时向上汇报讨论 
2.协助使用自动化脚本输出数据项报告 
3.跟踪区块链行业新风口热点项目 
4.与其他部门协同数据口径 
任职要求： 
1.22届及以后，985及海外知名院校优先，能稳定实习3-6个月 
2.熟练使用sql,excel，具有独立数据分析能力 
3.对区块链行业最新动向如NFT，Gamefi有浓厚兴趣或有一定基本了解 
4.有较强的自驱力，善于沟通，工作认真负责 
5.英语熟练优先",区块链，高速发展，总裁办职位，可选居家办
数据分析,学院路,知乎,3k-5k,北京 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 实习,"工作描述：     
1. 知乎核心业务，增长线数据的日常监测与分析，成长快速
2. 基于现有的数据仓库和业务逻辑，搭建能够快速响应业务或实际工作需求的数据报表，为业务方和团队提效赋能    
3. 提供日常数据支持，为业务拓展及优化提供决策性建议    
4. 根据能力或意向适当安排独立项目或专题研究      

任职要求：    
1. 数学、统计学、信息、经济学、计算机等数据分析相关专业，2023 年或 2024 年毕业的在校生
2. 数量使用 EXCEL 等相关办公软件，能够独立编写数据分析报告    
3. 热爱数据分析工作，具有一定的数据敏感性和洞察力，有数据模型经验者优先    
4. 有 SQL 使用能力者优先，有一定的 R 或 Python 基础    
5. 善于沟通，执行能力强，有团队合作精神，具备较强的分析能力    
6. 学习适应和承压能力强，能快速掌握所负责业务数据，并利用数据进行评估和优化",平台大、团队氛围好，牛人带你高速成长
数据分析实习生,团结湖,亚创,2k-4k,北京 / 在校/应届 / 本科及以上 /岗位所属职位类型实习生 / 实习,"1、重点高校本科及以上学历，计算机、数学、统计、经济学相关专业优先；

2、对直播行业有浓厚兴趣，对数据相关工作有充分的好奇心与钻研欲望，能熟练使用SQL语言；加分项：有数据分析&挖掘经验；

3、对数据与业务有足够敏感性，逻辑思维缜密，独立思考能力强；

4、有创新意识，并具备良好的学习能力、团队合作精神、沟通能力，有责任心，抗压能力强；

5、实习时间不少于6个月，每周实习4天以上，2021届优先。",团队氛围好 下午茶
数据分析实习,朝阳区,动次科技,3k-4k,北京 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 实习,"工作内容： 
1. 参与交易工具的研发，进行多平台信息的抓取和分析 
2. 完成读取链上信息，完善搭建爬虫框架 
 
任职要求： 
1. 本科及以上学历 
2. 我们希望你对nft技术有浓厚兴趣，愿意接受新鲜技术 
3. 熟练掌握 Python，有爬虫和数据分析实操经验者优先 
4. 英文好，会翻墙",大牛直带
数据分析实习生,朝阳区,唱吧-玩音乐，就上唱吧！,3k-5k,北京 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 实习,"工作职责: 
1、 日常对接业务，沟通需求，完成日常数据需求； 
2、 梳理业务团队需求，并制定日常监控数据报表及自动邮件； 
3、 负责业务活动复盘、版本迭代等日常分析及月度总结数据整理及分析； 
4、 挖掘数据背后的原因，可进行专项分析，为业务提供决策依据。 
 
 
任职资格 
1、 2023届及之后应届生，数学、统计学等相关专业，有互联网公司数据实习经验优先； 
2、 对数据敏感，结果导向，能够通过数据发现问题，具有良好的逻辑分析能力； 
3、 有较强的沟通表达能力及学习能力，自驱及抗压能力强； 
4、 熟练使用各种办公软件，熟练掌握excel、SQL、tableau，熟悉python、 R语言等优先考虑； 
5、每周可实习3天以上，可连续实习6月及以上优先考虑",行业top
商业数据分析实习生 (MJ005689),海淀区,微博,3k-6k,北京 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 实习,"岗位职责： 
1. 熟练操作使用数据产品系统及相关数据专业工具挖掘提取数据，根据业务要求准确计算清洗数据，高效输出数据结果； 
2. 融合微博大数据与专业市场研究理论，基于微博商业生态的思考，不断丰富新的大数据维度进行可行性挖掘，创新营销数据研究方法论体系； 
3. 结合微博商业营销需求灵活使用数据编程语言工具，提供智能化的数据算法分析思路，输出可支撑商业业务变现的结论策略； 
4. 与团队策略分析师沟通配合，正确理解客户的营销需求，进行针对性的数据分析研究，并科学指导营销策略的执行，完成有逻辑有深度有想法的数据分析方案； 
5. 定期完成行业典型分析课题及样本的研究测算，通过数据分析输出科学、有业务提升助力性的行业策略模型。 
任职要求： 
1. 本科及以上学历，2023届应届毕业生，理科专业背景（如统计学、商业分析、数学、计算机等），海外留学需有留服颁发的海外高校学历学位认证； 
2. 掌握并熟练使用基础程序语言及统计相关工具，如 R、Python、SQL、SPSS等； 
3. 掌握并熟练操作数据分析可视化工具如Tableau、BI等； 
4. 掌握并熟练相关办公软件：Excel、Word、PPT、XMind等； 
5. 拥有数据分析相关实习经验，有相关行业数据分析、数据指标搭建、语义数据分析、用户数据建模分析等相关工作内容经验者优先考虑； 
6. 具备良好的商业数据逻辑及解读能力，逻辑思维及沟通表达优秀； 
7. 对互联网主流的营销知识有基本的认识，敏锐的行业洞察力，有极强的自驱力，能自主不断的学习并提升自身的互联网营销、归因、商业数据分析等相关专业知识及技能； 
8. 工作态度认真积极、工作抗压能力强、有极强的责任心和团队合作能力。",提供转正
商业产品运营实习生—数据分析校验 (MJ005702),海淀区,微博,3k-6k,北京 / 在校/应届 / 本科及以上 /岗位所属职位类型运营 / 实习,"岗位职责： 
1、负责部门重点客户数据监控、分析； 
2、重点项目数据分析，输出数据结论； 
3、项目进展跟进，效果回收，数据校验，并整理输出结论； 
4、撰写对外输出材料，如：操作手册，投放指导手册，FAQ等。 
任职要求： 
1、2023届应届毕业生，本科以上学历，计算机、统计学、数学等理工科专业优先； 
2、有互联网公司实习经验优先； 
3、具备数据分析功底，熟练账户Excel和SQL； 
4、协调能力，沟通能力强，执行力强，有较好的抗压能力； 
5、至少实习4个月以上，半年或1年优先。",提供转正
