post_name,address,company,pay,basic_request,JD,label
数据分析专家,上海·青浦区,申通快递,15k-30k,上海 / 经验3-5年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"工作职责 
1.构建全面的能反映服务业务线发展健康度的关键指标体系，并基于指标体系，及时发现与定位业务问题，披露公司整体及各项目的运作情况。 
2.通过专题分析，对关键业务问题进行深入分析，为集团管理者提供业务决策支持。 
3.针对集团层面跨业务场景，联动多方资源进行专题分析，站在集团角度提供决策依据。 
4.沉淀分析思路与框架，提炼数据产品需求，与相关团队协作并推动数据产品落地。 
任职要求 
1.统计、数学、信息技术、商业分析本科以上学历 
2.3年以上大型企业为管理层提供决策支持的商业分析类岗位工作经历 
3.良好的商业理解力和数据敏感度，熟练运用SQL，能从海量数据提炼核心数据指标 
4.良好的沟通能力，有丰富的跨部门项目经验，能够独立推进分析项目 
5.数字敏感度高，具备较强的分析总结能力，具备良好的数据呈现能力，包括PPT展示和讲解能力。 
 
成长提升： 
1、3-5天***培训，柚子学院充电平台，持续培训关怀。 
2、学习氛围好，琢玉计划、每周一次技术分享、建立学而知之知识池，技术氛围浓厚。 
3、入职即有专属师兄，熟悉团队、带教等一站式关怀体制。 
4、团队氛围佳，年会、团建、定期举办球赛、兄弟中心联谊会、游戏大赛、团建、生日会、许愿墙等多彩活动。 
5、上市公司，平台稳定，制度健全，每年拥有晋升、调薪机会，拥抱变化，成长空间大。 
 
薪资福利： 
1、饭补375/月，食堂品类丰富、营养卫生。 
2、免费员工公寓，四人间，独立卫浴、空调、洗衣机齐备，可做饭。 
3、免费班车上下班，自驾车停车免费。 
4、每周低价内购活动，国定节日更有好礼相送。",平台稳定，核心部门-总裁办，团队氛围好空间大
高级数据分析师-数据挖掘岗(008434),深圳·福田区,中信银行信用卡中心,20k-25k,深圳 / 经验3-5年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"岗位职责: 
 
1、基于对行业和公司的业务理解，从数据和业务结合的角度进行专项业务数据分析和诊断，输出符合业务诉求的数据模型和增长策略，驱动业务模式增长，支持战略决策； 
2、负责业务机会挖掘，在渠道获客、客户经营、产品营销和风险决策等主要经营场景挖掘业务增长点，产出业务策略并推动跨部门业务协作和落地； 
3、独立承担分析任务，运用数据分析方法和技术，实施深度数据挖掘，并能沉淀关键分析思路；通过数据分析分解业务目标、建立各阶段的业务模型和多维指标体系，分解归因，产出数据分析报告，提升团队的数据化和智能化程度，加速业务数字化转型； 
4、通过业务专题分析模式，对业务问题进行深入拆解分析，与相关团队协作进行数据建模工作，并沉淀分析思路和框架，为业务和技术团队决策提供数据支持； 
5、数据分析相关项目管理工作，负责大型数据分析项目方案制定、项目实施落地及优化等。 
 
 
任职资格: 
 
1、本科及以上学历，计算机科学与技术、信息管理与信息系统。数据科学与大数据技术、统计学、数学与应用数学、金融数学、金融工程、人工智能等相关专业毕业优先； 
2、3年以上数据分析、数据挖掘工作经验； 
3、具备良好的编程能力，掌握python、SQL/Hive和数据库操作，熟悉数据挖掘常用算法（如分类、回归、聚类、关联规则等）及其原理，了解数据可视化工具，有Hadoop、Spark等平台的海量数据处理经验者优先 ； 
4、具备较强的数据敏感性、分析总结能力，掌握常用的数据分析方法和数据挖掘模型，基于数据洞察和问题定位，结合业务理解和业务需求完成数据建模分析，具备良好的文字表达能力者优先； 
5、具备跨领域学习能力，有出色的业务洞察力、逻辑思维能力、交流沟通能力，自我驱动，交付能力强，有强烈的责任感和团队协作意识和能力。",金融行业 数据分析 数据挖掘
数据分析师,北京·西三旗,好未来,3k-4k,北京 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 实习,"统计业务数据，跟进目标达成
落实季度、月度、周数据报表",足够大的锻炼机会
数据分析师,济南·浆水泉,齐鲁大数据研究院,2k-4k,济南 / 在校/应届 / 硕士及以上 /岗位所属职位类型数据分析师 / 实习,"工作职责 
1、面向政府、行业提供大数据分析服务，从事文献收集、政策分析、指标搭建、报告撰写等相关工作； 
2、根据数据分析项目要求，全程参与项目前期的沟通、报告分析思路等相关工作； 
3、其他数据分析相关工作。 
 
岗位要求 
1、有相关领域政策研究工作经历，具备数据分析工作经验优先，具有较强的宏观思维能力、研究分析能力和文字表达能力，具备良好的政策研究、文献梳理、项目执行能力；； 
2、熟练掌握Office等常用办公软件，有较强的研究报告写作和PPT制作能力，熟练掌握Python、SQL等软件； 
3、具备责任心和良好的团队协作精神，乐于沟通交流和分享，充满激情，乐于接受挑战。有较强的学习能力，能够主动钻研新技术、学习新知识。",工作氛围好，平台资源好
抖音电商 - 数据分析师实习生,上海·杨浦区,字节跳动,3k-4k,上海 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 实习,"职位职责： 
1、参与电商数据体系建设，结合字节跳动全域数据生态，为电商产品及业务的发展提供数据能力支撑； 
2、参与数据模型的规划与设计、业务数据报表需求分析、设计、落地，为业务及管理层提供决策支持； 
3、挖掘电商业务中的各项数据需求，探索创新型数据产品，驱动模型和策略的优化。 
职位要求： 
1、本科及以上学历，统计学、应用数学、计算机等理工科专业背景优先； 
2、对数据敏感，对数据类工作有高度热情； 
3、对大数据应用场景有一定认识，有数据仓库、BI、数据挖掘、用户画像等方面的经验者优先； 
4、熟悉SQL/Hive，至少可以熟练使用一种数据可视化分析工具； 
5、沟通表达能力优、抗压能力强、协调推动能力好。","下午茶,团队氛围好,晋升空间大"
数据分析师实习生,重庆·大竹林,重庆道微投资,2k-3k,重庆 / 经验不限 / 本科及以上 /岗位所属职位类型实习生 / 全职,"（一）工作内容：

1、股票、期货等投资数据的收集、整理；

2、辅助交易策略的编写、分析和评估，可行性分析；

3、认真、保质保量的完成领导安排的其他任务。



（二）职位要求：

1、**及以上学历，成绩优异，金融、数学、统计、计算机及其他相关专业优先，逻辑思维能力较强；

2、对财务，交易，期货，股票，外汇等金融基础知识有了解的优先；

3、踏实，有责任心，有强烈的自我驱动力和学习的意愿，愿意在金融数据分析领域追求长期事业发展；

4、英语四级及以上，会编程的优先；

5、能实习6个月及以上，每周五天。



来我们这里工作，你能得到什么？


（一）一流行业的长期发展机会，掌握先进的技术和投资能力，获得多重高回报；

（二）接触和见识到国内少有的优秀的高性能的交易平台，了解投资管理公司的运作；

（三）与一流投资专家和技术大牛一起工作的机会；

（四）专人带领，学习成长快人一步；

（五）舒适的办公环境，免费零食饮料提供。","弹性工作,扁平化管理"
游戏数据分析师实习生,成都·高新区,tap4fun,3k-5k,成都 / 经验不限 / 硕士及以上 /岗位所属职位类型实习生 / 全职,"工作职责：

分析游戏运营日常相关数据；
研究分析用户游戏内行为，通过统计学，数据挖掘/机器学习模型等知识帮助游戏改进，提高用户体验，游戏收益；

能力要求:

硕士学历及以上，统计学/数据分析相关学科研究背景；
至少掌握一种编程建模语言，如Python、R等；
熟悉SQL语言；
熟悉机器学习常用算法，有项目相关经验优先；


优先条件：

热爱数据，用数据驱动决策。
寻根究底，热爱游戏，具备行业知识优先",免费健身房
数据分析师实习生,杭州·白杨,云表汇通,3k-6k,杭州 / 在校/应届 / 学历不限 /岗位所属职位类型实习生 / 实习,"不能实习半年以上，勿扰！！！
职位描述
1、    学习并掌握运用公司数据分析产品datafocus进行数据处理、数据可视化以及数据分析；
2、    深入分析相应的商业领域数据，总结行业分析方法，撰写数据分析报告；
3、  根据数据分析实践开发相应的数据分析视频教程、数据分析专题教程；
4、  数字敏感、有敏锐的分析头脑、以及文字功底好者优先；",五险一金、假日旅游、半年调薪
数据分析师,上海·黄浦区,上海硕恩,3k-4k,上海 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"职责描述： 
1、负责编写代码对数据进行清洗、计算及变量加工； 
2、负责风控模型统计、建模； 
3、负责技术文档编写及整理； 
4、研究分析银行及泛金融业务，从数据分析视角给出咨询建议； 
5、其他公司安排的各项工作。 
 
任职要求： 
1.大学本科或以上学历，具有相关经验者优先； 
2.统计学、数学专业，或理工类、工程类学习过统计课程者优先； 
3.认真负责，遇到问题有韧性，善于尝试不同解决问题的方法； 
4.有SAS、Python、R编程经验者优先。",团队氛围好 有转正机会
数据分析师,大连·高新园…,金山世游,2k-3k,大连 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 实习,"岗位描述：
1.通过学习，快速掌握游戏运营的必备知识，熟知游戏运营指标的意义；
2.梳理业务逻辑，持续完善指标及监控体系，对异常数据保持敏感；
3.满足日常数据查询需求，对于重复性需求有一定的规划整理能力，实现自动化；
4.与运营、产品、市场、技术人员深度配合，沟通并理解业务真实分析需求，提供相关数据分析支持；
5.能独立完成专项分析，实现从指标的设计、数据埋点的设计、数据提取、加工处理、统计分析、最终输出分析报告的完整工作闭环。

岗位要求：
1.数学、统计学、计算机、经济学等相关专业，***本科及以上学历；
2.工作态度严谨，有一定的自我驱动能力；
3.具备良好的需求理解及沟通能力，能够独立完成专项分析需求的设计及实现；
4.了解常用数据分析方法及其业务意义，对数据采集、处理、分析、可视化有一定的理解；
5.Excel熟练使用，常用函数及数据透视表功能；
6.具备sql语言基础，熟练使用查询语句；
7.至少熟悉一门数据分析语言，python或R；
8.相对丰富的游戏经验，并对游戏系统及活动设计有一定的理解。",团队氛围好、各项福利齐全
数据分析师,长沙·长沙县,湖南语亦云科技有限公司,2k-3k,长沙 / 在校/应届 / 学历不限 /岗位所属职位类型数据分析师 / 实习,"岗位职责
1.对网站及APP平台进行负面信息监测，收集和整理、归类，及时反馈预警。
2.根据需求，上网浏览收集梳理相关平台行业等信息，完成日常监测。
3.根据需求，完成各类专项监测报告撰写。
岗位要求
1.练使用EXCEL、WORD等办公软件，高效完成信息处理工作。
2.有敏锐的新闻意识，能够准确判断与收集客户所需信息。
3.较强的写作能力，文字功底扎实。
4.有敬业的工作态度，工作主动、细致，有责任感。",周末双休、五险一金、每周四下午茶等
数据分析师,北京·朝阳区,蓝阵,2k-3k,北京 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 实习,1、工作积极认真、细心负责，熟练运用excel等办公软件 2、优秀的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情 3、能认真执行领导安排的工作，耐心，细致。,与大型公司合作，数据分析，可开实习证明
助理数据分析师,上海·张江,PwC,2k-4k,上海 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 实习,"Roles/Responsibilities： 
• Responsible for the architecture design of models / strategies / algorithms for the innovative applications, including but not limited to predictive analysis, natural language processing etc. 
• Identifies unique opportunities to collect new data. 
• Designs new processes and builds large, complex data sets. 
• Strategizes new uses for data and its interaction with data design. 
• Locates new data sources, analyzes statistics and implements quality procedures. 
• Performs data studies of new and diverse data sources. 
• Finds new uses for existing data sources. 
• Conducts statistical modeling and experiment design. 
• Discovers “stories” told by the data and presents them to other scientists and business managers. 
• Tests and validates predictive models. 
• Builds web prototypes and performs data visualization. 
• Conducts scalable data research on and off the cloud. 
• Implements automated processes for efficiently producing scale models. 
• Designs, modifies and builds new data processes. 
• Generates algorithms and creates computer models. 
• Proficient programming in Python, R, and SQL (Structured Query Language). 
• Hadoop, NoSQL, Java are strong plus. 
• Programming on scalable/Big Data language such as Scala/Spark is a plus. 
 
 
Background/Experience/Credentials: 
• Bachelor's degree or above, will graduate in 2023; 
• Major in Computer Science, Information Technology, Information System, Math, Statistics, Data Engineering and related disciplines 
• good at Python,R,SQL database 
• good at SQL Server,MySQL, Java 
• Good command of written and spoken English; 
• Possesses a working knowledge of statistics, programming and predictive modelling; 
• Background or strong interest in related technology solutions; 
• Demonstrates excellent code writing abilities; 
• Has strong critical thinking skills and the ability to relate them to the products or services the company is producing; 
• Possess a combination of creative abilities and business knowledge; 
• Demonstrate good verbal and written communication skills as well as the ability to bridge the gap between data science and business management; 
• Start from internship and can be converted into full time employee after graduation based on internship assessment",可转正实习 可在家办公 弹性工作 住房补贴
