post_name,address,company,pay,basic_request,JD,label
高级数据分析师-数据挖掘岗(008434),福田区,中信银行信用卡中心,20k-25k,深圳 / 经验3-5年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"岗位职责: 
 
1、基于对行业和公司的业务理解，从数据和业务结合的角度进行专项业务数据分析和诊断，输出符合业务诉求的数据模型和增长策略，驱动业务模式增长，支持战略决策； 
2、负责业务机会挖掘，在渠道获客、客户经营、产品营销和风险决策等主要经营场景挖掘业务增长点，产出业务策略并推动跨部门业务协作和落地； 
3、独立承担分析任务，运用数据分析方法和技术，实施深度数据挖掘，并能沉淀关键分析思路；通过数据分析分解业务目标、建立各阶段的业务模型和多维指标体系，分解归因，产出数据分析报告，提升团队的数据化和智能化程度，加速业务数字化转型； 
4、通过业务专题分析模式，对业务问题进行深入拆解分析，与相关团队协作进行数据建模工作，并沉淀分析思路和框架，为业务和技术团队决策提供数据支持； 
5、数据分析相关项目管理工作，负责大型数据分析项目方案制定、项目实施落地及优化等。 
 
 
任职资格: 
 
1、本科及以上学历，计算机科学与技术、信息管理与信息系统。数据科学与大数据技术、统计学、数学与应用数学、金融数学、金融工程、人工智能等相关专业毕业优先； 
2、3年以上数据分析、数据挖掘工作经验； 
3、具备良好的编程能力，掌握python、SQL/Hive和数据库操作，熟悉数据挖掘常用算法（如分类、回归、聚类、关联规则等）及其原理，了解数据可视化工具，有Hadoop、Spark等平台的海量数据处理经验者优先 ； 
4、具备较强的数据敏感性、分析总结能力，掌握常用的数据分析方法和数据挖掘模型，基于数据洞察和问题定位，结合业务理解和业务需求完成数据建模分析，具备良好的文字表达能力者优先； 
5、具备跨领域学习能力，有出色的业务洞察力、逻辑思维能力、交流沟通能力，自我驱动，交付能力强，有强烈的责任感和团队协作意识和能力。",金融行业 数据分析 数据挖掘
大数据平台开发岗(008120),福田区,中信银行信用卡中心,20k-40k,深圳 / 经验3-5年 / 本科及以上 /岗位所属职位类型大数据开发工程师 / 全职,"岗位职责: 
1、负责大数据基础平台系统、大数据组件需求共性功能抽象、收集、整理； 
2、负责大数据基础平台系统、大数据组件需求开发、测试、部署、系统优化及运营； 
3、负责制定大数据平台系统、组件开发规范、流程和制度； 
4、负责大数据平台系统、组件开发培训课件制作并开展培训； 
5、负责内外部大数据项目需求分析及数据建模、方案评估； 
6、负责追踪大数据和云计算技术的最新科技成果，协调团队应用于内部业务实践。 
任职要求： 
1. 本科及以上学历，计算机相关专业，3年以上大数据相关开发经验； 
2. 使用过Java/Scala/Python/C++/C 至少其中一门编程语言进行项目开发、实施； 
3. 具备Hadoop/Spark/Hbase/ES/Flink/Yarn/MPP架构计算引擎的使用经验（生产环境），熟悉大数据类软件体系架构及源码，了解核心组件内部原理，有集群部署及运维运营经验； 
4. 熟练使用Linux操作系统，熟练使用Shell/Python/Perl编写自动化脚本； 
5. 具备数百TB级别Hadoop大数据集群运营、监控开发以及性能调优经验；（优先） 
6. 有较强的学习能力, 对于新技术和开源生态具有强烈好奇心和持续关注的热情； 
7. 较强的人际关系能力、有团队精神，较强的执行与推动能力，有一定抗压力。",金融行业 数据分析 数据挖掘
大数据分析实习生,南山区,点宽,2k-4k,深圳 / 在校/应届 / 本科及以上 /岗位所属职位类型大数据开发工程师 / 实习,"工作职责：
1、 整理大数据课程大纲（大数据处理方向、大数据分析方向）；
2、 整理大数据技术基础知识点；
3、 数据库相关课程案例制作，如网络爬虫、大数据采集、关系型与非关系型数据库、数据查询；
4、 大数据分析与挖掘，包括数据预处理、数据分析、数据挖掘、数据可视化等课程案例制作；
5、 Hadoop生态体系（Hadoop，Spark，Flink，Kafka，Hive）搭建及其课程案例的制作。
岗位要求：
1、数学物理、计算机等专业优先考虑；
2、至少实习3个月，一周能保证实习3天；
3、 掌握SQL，熟练掌握Python/ Java等编程语言之一或多个；
4、 掌握 Linux 操作系统及shell脚本语言；
5、 熟悉Hadoop生态体系（Hadoop，Spark，Flink，Kafka，Hive等）；
6、 掌握python进行数据分析，会运用机器学习相关算法。",不定期下午茶
金融量化数据分析实习生,南山区,富途,3k-4k,深圳 / 在校/应届 / 本科及以上 /岗位所属职位类型实习生 / 实习,"岗位职责：

1、协助部门负责人完成各类数据的收集、整理、入库；

2、运用最先进的统计和机器学习技术，研发量化交易风控系统；

3、对智能投顾产品进行实时监控、风险分析以及模型优化更新；

4、开发实现多样化的交易策略模型与多维的资产配置策略。





岗位要求：

1、构建资产组合评价体系，开发、维护和跟踪风险评估模型，评分卡等风险量化工具和指标；

2、精通Python、SQL语言；

3、精通统计建模、多元回归、时间序列分析等；

4、学习能力强，对投资有独立见解；

5、工作认真细致，能较好的处理好工作中的细节，有很强的责任心，抗压能力强；

6、***本科以上学历，理工科：金融工程、数理统计、计算机、物理等相关专业，包括：大三、大四保研学生或研一、研二学生。",腾讯系上市企业、bat团队、导师制
数据分析与测试实习生,科技园,高登世德金融,2k-3k,深圳 / 在校/应届 / 本科及以上 /岗位所属职位类型实习生 / 实习,"1. 在资深金融业务人员指导下进行项目相关的需求、材料及数据的收集、整理 
2. 在资深金融业务人员指导下对系统进行功能测试和数据测试 
3. 在资深系统架构设计师指导下负责使用系统对各项目进行相关数据计算，测试与核对 
4. 在资深系统架构设计师指导下负责编写各项目的相关文档
实习技能： 
1.提高数据分析和归纳能力
2.提高Excel 、PPT使用技能
3.掌握一定的编程基础并将熟悉一些数据库语言，比如SQL，MySQL,Python等",转正机会，周末双休，扁平管理
数据分析师（实习）(F922),南山区,一面数据,3k-6k,深圳 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 实习,"职位描述：
1. 与资深分析师合作，撰写、交付分析报告；
2. 协助维护公司内部数据，监控问题并跟进解决；
3. 负责与公司合作伙伴日常沟通和关系维护工作。

职位要求：
1. 熟练使用 Excel 和 PowerPoint，能够熟练使用 Python、SQL、Tableau 等编程语言及工具；
2. 本科及以上学历，至少实习两个月以上（请在简历上标明实习时长及一周几天）；
3. 有良好的沟通能力，做事认真、负责、有耐心，有较强的服务意识、团队合作意识和主观能动性。

温馨提醒：
投实习的同学们请在简历上备注好可开始实习的时间以及可实习时长哦~",大数据人工智能，名校系大牛，技术氛围浓
数据分析师（实习） (JR4JV),南山区,一面数据,3k-6k,深圳 / 在校/应届 / 本科及以上 /岗位所属职位类型数据分析师 / 实习,"职位描述： 
1.负责电商数据标注团队的管理和建设，综筹标注团队的工作进度、任务分发、结果验收。 
2.规划电商数据标注方案，与产品、研发团队紧密合作，能够根据业务需求安排有效的标注计划，对标注质量负责。 
3.对标注后的数据进行合理有效的分类和管理，保障数据质量，方便业务的提取和使用。 
4.研究各类数据标注的工具和方法，定期总结标注经验，能有效的提升标注团队的空体效率和质量。 
 
职位要求： 
1.本科及以上学历，至少能实习3个月，一周5天（请在简历上标明实习时长及一周几天）。 
2.熟练操作excel,了解相关AI算法原理的优先。 
3.深入了解产品的研发和运营流程。熟悉用户体验、交互设计。 
4.思维开放、善于进行创新，较强的逻销分析能力和数据敏感性。 
5.有良好的沟通能力，做事认真、负责、有耐心，有较强的服务意识、团队合作意识和主观能动性。",名校系大牛，技术氛围浓，氛围轻松愉快
数据分析师,景田,嘉立创集团,15k-25k,深圳 / 经验3-5年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"岗位职责 
1、梳理业务流程及指标口径，搭建各业务场景指标体系并沉淀固化为数据看板 
2、深入理解业务，能将业务逻辑进行抽象，并通过统计或模型手段揭示其中规律，促进认知迭代，辅助业务进行决策 
3、独立完成经营，生产，库存，供应链专题的数据分析报告撰写，输出策略并能推动落地 
任职要求 
1、**本科及以上学历，计算机、统计学、应用数学相关专业 
2、3年以上BI数据分析经验，精通帆软FineReport、quickBI等BI产品及有实践项目 
3、熟练使用R、Python或Excel中的一种，熟练掌握SQL，有数据可视化经验，熟悉常见的数据统计和分析方法 
4、独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题 
5、有良好的逻辑思维能力，对未知问题充满好奇心，能独立解决问题 
6、强大的自驱力，敬业精神，良好的跨部门沟通及资源整合能力，能够独立推进项目",五险一金 、定期体检、 餐费补贴、 发展空间大
数据分析师,宝安区,字节跳动,15k-30k,深圳 / 经验1-3年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"职位职责： 
1、根据用户行为等数据进行业务分析，帮助业务快速提升； 
2、建设业务分析模型，不断评估和优化业务分析模型。 
3、支持业务上各种统计分析需求。 
职位要求： 
1、数学、统计学、计算机相关专业优先，对数据分析有强烈兴趣者优先； 
2、有IT大数据分析经验，有大型互联网公司数据分析经验、互联网数据建模分析经验者优先； 
3、有一线产品或运营业务优化经验者优先； 
4、精通 SQL，熟练使用 R/Python 进行数据清洗、分析； 
5、能快速理解业务，发掘业务细节和数据之间的联系； 
6、掌握 Tableau 等 BI 工具尤佳。","六险一金,弹性工作,免费三餐,餐补"
数据分析师,大冲,财象云,8k-15k,深圳 / 经验1-3年 / 本科及以上 /岗位所属职位类型数据分析师 / 全职,"岗位职责: 
1、通过数据分析评估各项业务运作情况，提供科学建议和决策支持； 
2、根据业务及产品需求，规划设计和构建业务指标体系； 
3、亿级数据量的用户行为分析，优化和完善用户标签体系； 
4、定期提供数据统计报表、分析报告，对业务进行跟踪、监控、预警； 
5、协同产品/运营/算法等部门，参与各类专题分析，包括但不限于：用户画像/留存分析/用户流失预警/RFM分群/个性化推荐/广告推广投放等，协作达成项目目标 
 
 
任职要求： 
1、本科及以上学历，数学/统计/经管等相关专业，1年以上数据分析相关工作经验； 
2、精通SQL, 精通Excel，能熟悉python/R/SAS等编程或BI工具尤佳； 
3、优秀的数据分析能力，扎实的数理统计知识，数据敏感性好； 
4、逻辑思维严密，有较好的报告展示能力，有较强的团队沟通协调能力",亿级用户量平台
